answer,id,two_shot_cot
104.0,chal-116,1600.002089000000000000
10.0,chal-117,10.0
17.0,chal-118,10.10
10.0,chal-119,6190.1
22.0,chal-120,25.0
3.0,chal-121,4.5
25.0,chal-122,237.0
4.0,chal-123,4.6667
33.0,chal-124,33.1
12.0,chal-125,18.0
118.0,chal-126,140.004914791414147914
5.0,chal-127,7.86
7.0,chal-128,37.0
192.0,chal-129,53.00
7.0,chal-130,7.5
9.0,chal-131,10.10
34.0,chal-132,18.573124567856789
60.0,chal-133,53.0
1.0,chal-134,10.5
308.0,chal-135,11.0044000110000011000
80.0,chal-136,175.5
4.0,chal-137,112.11112112112112112112112
180.0,chal-138,9.0
2.0,chal-139,8.0
16.0,chal-140,17.0
15.0,chal-141,49.0
125.0,chal-142,101.0
30.0,chal-143,30.0
6.0,chal-144,7600.1
137.0,chal-145,258.0
1124.0,chal-146,214.9102071421002140214
81.0,chal-147,59.00
469.0,chal-148,628.0056875687556875568
72.0,chal-149,576.00
3.0,chal-150,14.0
12.0,chal-151,19.0
174080.0,chal-152,9.557896
450.0,chal-153,46.50123
34.0,chal-154,20.0
2.0,chal-155,6.0
5.0,chal-156,10.00
98.0,chal-157,17.0
21.0,chal-158,36.0
638.0,chal-159,24.1
29.0,chal-160,252.0
16.0,chal-161,1.00
4.0,chal-162,20.0
13.0,chal-163,18.0
5.0,chal-164,8.1
37.0,chal-165,115.01167811511678115116
2.0,chal-166,16.076073946
95.0,chal-167,95.0
2.0,chal-168,3.4
21.0,chal-169,93.0
58.0,chal-170,8.0484239467343734
1538832.0,chal-171,98.8796925925926
6.0,chal-172,18.0
858.0,chal-173,26.3326435313531326343
8.0,chal-174,17.5
5.0,chal-175,10.5
18.0,chal-176,58.9
8.0,chal-177,4.5
8722.0,chal-178,163.000568444974493
14.0,chal-179,9.0
13.0,chal-180,10.0
229.0,chal-181,221.8
29.0,chal-182,9.512060444444444
61.0,chal-183,54.5
420.0,chal-184,30.0
1.0,chal-185,82.0
42.0,chal-186,106.0424172844241728
1.0,chal-187,15.0425949374956493
56.0,chal-188,1.0000000000000000000000
21.0,chal-189,42.02222222222222222
4.0,chal-190,45.005345435435435435435
76.0,chal-191,46.00
10.0,chal-192,3.33333
2.0,chal-193,15.0
21.0,chal-194,22.00
2.0,chal-195,20.025303540455055
28.0,chal-196,2.44128423442434424
7.0,chal-197,10.0
2.0,chal-198,23.0
28.0,chal-199,11.0
40.0,chal-200,356.2515856725123567251
83.0,chal-201,49.0
6.0,chal-202,20.0
12518.0,chal-203,5700.00000000000000000
127.0,chal-204,41.0
1.0,chal-205,6.0612867216128672
460.0,chal-206,5.5
11.0,chal-207,18.0
1.0,chal-208,4.0
3.0,chal-209,7.6
7.0,chal-210,23.0
47.0,chal-211,25.1
350.0,chal-212,14.048400
68.0,chal-213,67.5
19.0,chal-214,2.2
22.0,chal-215,7.5756834568161428
12.0,chal-216,10.0796549688916
17.0,chal-217,2.53545634566789678
72.0,chal-218,10.00
2.0,chal-219,2.0
184.0,chal-220,255.00
1.0,chal-221,11.0
1092.0,chal-222,14858.00
15.0,chal-223,28.0
14.0,chal-224,28.04484448444844444
3.0,chal-225,33.0
23.0,chal-226,42.0
14.0,chal-227,14.3
5.0,chal-228,5.5
450.0,chal-229,301.4198
2.0,chal-230,4.0
16.0,chal-231,20.0
280.0,chal-232,8.030000000000000000000
8.0,chal-233,20.00
2.0,chal-234,16.0
1.0,chal-235,4.4
183.0,chal-236,243.0
482.0,chal-237,4.97363364836463949
8.0,chal-238,8.8
3.0,chal-239,53.0
69.0,chal-240,73.4
20.0,chal-241,301.00
21.0,chal-242,81.004535312023456789
90.0,chal-243,13.5
10.0,chal-244,13.0123456789101112131415
11.0,chal-245,14.0
174.0,chal-246,1686.0
84.0,chal-247,48.2
640.0,chal-248,14.9916980043535656
26.0,chal-249,102.0
14.0,chal-250,7.0
27.0,chal-251,29.29
65.0,chal-252,570.0469847004701470
6840.0,chal-253,3420.00000000000000000
23.0,chal-254,13.0
1542.0,chal-255,702.0
9.0,chal-256,9.00
14.0,chal-257,14.0
1.0,chal-258,1.1
40.0,chal-259,31.0
183.0,chal-260,96.0
127.0,chal-261,12452.0012832760000000000
10.0,chal-262,10.10
26.0,chal-263,88.592289228902890
1.0,chal-264,1.0
3.0,chal-265,7.1
997.0,chal-266,18.042434343434342434
11.0,chal-267,108.0010800001090000109
29.0,chal-268,15.0728472847284728
27.0,chal-269,3.0010435443554356
91.0,chal-270,0.541231254123125412
7.0,chal-271,8.0
5.0,chal-272,42.22222
48.0,chal-273,12.00044000000000000000
2.0,chal-274,44.5
18.0,chal-275,10.0017501750175017
1.0,chal-276,7.0
217.0,chal-277,76.00
5.0,chal-278,10.0
26180.0,chal-279,1066200.00
3.0,chal-280,3.0
211.0,chal-281,105.9
37.0,chal-282,3.5
34.0,chal-283,13.000000000000
6.0,chal-284,19.0
30.0,chal-285,35.0
20.0,chal-286,185.0
410.0,chal-287,59832.2
2.0,chal-288,6.0000
2.0,chal-289,8.0
745.0,chal-290,55200.0
131.0,chal-291,206.207208209210211212213214
6.0,chal-292,17.0
4.0,chal-293,4.0
3.0,chal-294,6.0728372837283728
37.0,chal-295,48.004263641242634426
4.0,chal-296,6.0
2.0,chal-297,3.12750467285765672
654.0,chal-298,176.6
34.0,chal-299,15.00000000000000000000
45.0,chal-300,59.0
28.0,chal-301,28.0
3.0,chal-302,6.00000000000000000000
25.0,chal-303,25.0
1.0,chal-304,23.5
14.0,chal-305,14.0
7.0,chal-306,19.0
5.0,chal-307,19.5
1.0,chal-308,144.0
2184.0,chal-309,52.5
20.0,chal-310,20.0
66.0,chal-311,20.5246789012345678901
89.0,chal-312,100.00161481614816148161
5.0,chal-313,3.0
22.0,chal-314,82.0
8.0,chal-315,8.000000000000000
18.0,chal-316,90.00456789
1.0,chal-317,6.0626364447288728
14.0,chal-318,16.4
3.0,chal-319,3.0
4.0,chal-320,25.00
9.0,chal-321,18.0
78.0,chal-322,172.92
13.0,chal-323,5.0618461987286
35.0,chal-324,14.5
41.0,chal-325,19.0
19.0,chal-326,40.0
13.0,chal-327,7.06723
26.0,chal-328,78.032483232323232323
63.0,chal-329,21.5
11.0,chal-330,11.0
4.0,chal-331,68.0
32.0,chal-332,25.0
332.0,chal-333,816.96
25.0,chal-334,18.0
16.0,chal-335,18.0
1.0,chal-336,12.5
807.0,chal-337,808.00
18.0,chal-338,45.0
3.0,chal-339,6.0
4.0,chal-340,56.0
2.0,chal-341,15.5
2.0,chal-342,23.5
1.0,chal-343,1.5
43.0,chal-344,13.5
4.0,chal-345,6.00000000
17.0,chal-346,13.0
158.0,chal-347,79248.00
1081.0,chal-348,5527.00000
16.0,chal-349,56.0
13.0,chal-350,9.0
23.0,chal-351,3.3
5.0,chal-352,9.00
117.0,chal-353,14.0204402044020040404
1848.0,chal-354,65.8
26.0,chal-355,15.0
80.0,chal-356,8.0
12.0,chal-357,3.15
11.0,chal-358,11.11
47.0,chal-359,94.0
27.0,chal-360,15.0
7.0,chal-361,53.0
4.0,chal-362,4.0
1.0,chal-363,2.0
14.0,chal-364,20.575435367894231
2.0,chal-365,5.0
146.0,chal-366,8042.02
92.0,chal-367,92.00
314.0,chal-368,760.0
7.0,chal-369,12.003001200012001200
14.0,chal-370,11.0
2.0,chal-371,4.5
337.0,chal-372,946.1
3.0,chal-373,6.0823464487289
22.0,chal-374,17.0
20.0,chal-375,30.0
152.0,chal-376,152.00
6.0,chal-377,235.6
1.0,chal-378,15.0
3.0,chal-379,17.5
3.0,chal-380,8.5848664344
15.0,chal-381,10.0
1.0,chal-382,15.0
83.0,chal-383,233.33
70.0,chal-384,70.5
6.0,chal-385,20.00678056886780568
2.0,chal-386,14.544928938
52.0,chal-387,18.0
3.0,chal-388,19.5
8.0,chal-389,10.00000000000000000000
64.0,chal-390,63.5
6.0,chal-391,11.00
37.0,chal-392,19.00379272883287328
13.0,chal-393,31.5
9.0,chal-394,4.5
3.0,chal-395,3.0
1346.0,chal-396,5522.1
32.0,chal-397,2.03164
10.0,chal-398,13.0728572937289728
9.0,chal-399,23.5
4.0,chal-400,10.0
8.0,chal-401,19.0
3.0,chal-402,9.0
14.0,chal-403,421.33
11.0,chal-404,11.0
9.0,chal-405,21.0
1.0,chal-406,7.7
8.0,chal-407,17.0
101.0,chal-408,42.5
6.0,chal-409,11.0
455.0,chal-410,305.0
33.0,chal-411,33.0
7.0,chal-412,5.0
98.0,chal-413,48.0
8.0,chal-414,19.00000000000000000
17.0,chal-415,26.0
3.0,chal-416,15.0
45.0,chal-417,116.00147100000093000
9.0,chal-418,20.0
4.0,chal-419,804.25
8.0,chal-420,18.0
1.0,chal-421,11.0
1.0,chal-422,10.0
10.0,chal-423,49500.0
394.0,chal-424,161.0
5590.0,chal-425,59.04000000000001
2.0,chal-426,4.51284256289256289
15.0,chal-427,29.01477
18.0,chal-428,18.0
111.0,chal-429,33.3333333333336000000000
7.0,chal-430,23.0
6.0,chal-431,9.0
93.0,chal-432,16.0
2.0,chal-433,91.0
51.0,chal-434,37.0
4.0,chal-435,28.0760679112814281
3.0,chal-436,23.52242522425242522
14.0,chal-437,14.9
8.0,chal-438,3.0010000000000000000
5.0,chal-439,7.0
5.0,chal-440,7.5
141.0,chal-441,141.1
587.0,chal-442,542.6
35624.0,chal-443,84624.0
2.0,chal-444,2.1
8.0,chal-445,17.0
1891.0,chal-446,23.91
5.0,chal-447,6.0
1.0,chal-448,1.0
17017.0,chal-449,17.0370
58.0,chal-450,75.0
3.0,chal-451,2.0
5.0,chal-452,5.0
3.0,chal-453,3.0
4.0,chal-454,20.0
1.0,chal-455,24.5
10.0,chal-456,7.5
21.0,chal-457,7.0
4.0,chal-458,4.0
71.0,chal-459,52.0
34.0,chal-460,47.0
58.0,chal-461,8.0
3.0,chal-462,10.11
2.0,chal-463,4.4
60.0,chal-464,5321.4
9.0,chal-465,7.05925
3.0,chal-466,10.52511000102510251
756.0,chal-467,382.04623740379743797
31.0,chal-468,70.00000000000000000000
3.0,chal-469,3.0
30.0,chal-470,18.0
17.0,chal-471,7.5
112.0,chal-472,909.2
3.0,chal-473,10.0
140.0,chal-474,155.7
102.0,chal-475,7600.00
1.0,chal-476,12.5
89.0,chal-477,99.99
6.0,chal-478,52.0552665276728738
1080.0,chal-479,26.8
66.0,chal-480,36.5
25740.0,chal-481,56920.0
60.0,chal-482,18.0
109044.0,chal-483,84546.8469
322.0,chal-484,114.1
333.0,chal-485,3033.30
390.0,chal-486,30.5243456789101112131
68.0,chal-487,58.00030000000000000000
9.0,chal-488,8.8235294117647
405.0,chal-489,45.042624286428571428
25.0,chal-490,25.00
16.0,chal-491,14.00
8.0,chal-492,10.0
324775.0,chal-493,78911.2
92.0,chal-494,47.5
4.0,chal-495,20.5
23.0,chal-496,11.11
12.0,chal-497,27.0
1.0,chal-498,294.00
9.0,chal-499,65.1
12.0,chal-500,23.5
2.0,chal-501,5.0
70.0,chal-502,139.9
5700.0,chal-503,20.00175
17.0,chal-504,17.1
52.0,chal-505,68.0
57.0,chal-506,705.00007300000073000000
42.0,chal-507,1122.11
19.0,chal-508,25.0
20.0,chal-509,8.06786543210
22.0,chal-510,16.0
2.0,chal-511,10.0
367.0,chal-512,367.1
20.0,chal-513,16.0728172817281728
16.0,chal-514,43.0
14.0,chal-515,19.0
42.0,chal-516,7200.00000000000000000
5.0,chal-517,9.0
4.0,chal-518,108.0
20.0,chal-519,120.0
6.0,chal-520,3.0
1541.0,chal-521,744.1
19.0,chal-522,18.0
1.0,chal-523,10.0
17.0,chal-524,17.1
5.0,chal-525,5.1
2.0,chal-526,29.47
3.0,chal-527,5.0
14.0,chal-528,10.4
1.0,chal-529,10.0
10.0,chal-530,10.10
3.0,chal-531,10601.0000
149.0,chal-532,149.0
1.0,chal-533,13.0
69.0,chal-534,60.0
168.0,chal-535,378.378378378378378378378378
481.0,chal-536,49211.0049211
14.0,chal-537,56.0
7.0,chal-538,7.0
33.0,chal-539,43.5
1463.0,chal-540,75.5676567656765676
128.0,chal-541,33.0
5.0,chal-542,5.06
67.0,chal-543,54.07281
68.0,chal-544,91.0023043110230431
1.0,chal-545,23.0
1.0,chal-546,56.254236425434245424
1.0,chal-547,8.8
31.0,chal-548,95.0009500950095009
3.0,chal-549,18.0
10.0,chal-550,50.00
5.0,chal-551,7.5
15.0,chal-552,160.8
8.0,chal-553,10.0
6.0,chal-554,63.0
8.0,chal-555,11.2128659206969696
1.0,chal-556,1.0
7.0,chal-557,16.020404078404040404
41.0,chal-558,51.0
150780.0,chal-559,669336.0
54.0,chal-560,87.0
16.0,chal-561,6.0602472885921
4.0,chal-562,6.07281
1145.0,chal-563,625.5
1.0,chal-564,33.3333333333336000000000
2.0,chal-565,6.00
2.0,chal-566,14.0
4.0,chal-567,10.00
1.0,chal-568,10.0
20.0,chal-569,45.00
4.0,chal-570,34.0
365.0,chal-571,23.50958859245656565
27.0,chal-572,68.00424697894238424
19.0,chal-573,17.5566116251321364
11210.0,chal-574,78.5
720.0,chal-575,24.0
4.0,chal-576,4.1
26.0,chal-577,24.5
82.0,chal-578,83.0
9.0,chal-579,17.0
90.0,chal-580,90.0
4.0,chal-581,48.00000000000000000000
7.0,chal-582,8.598131
13.0,chal-583,5.0
4.0,chal-584,1.0
36.0,chal-585,36.2
30.0,chal-586,16.0
5.0,chal-587,11.11
67.0,chal-588,3.07640625592000000000
606.0,chal-589,310.0
13.0,chal-590,16.1
93899.0,chal-591,40752.00403494070340752
5.0,chal-592,18.72592407407407407407407
14.0,chal-593,14.1
43.0,chal-594,215.00715021502150215
31.0,chal-595,31.0
600.0,chal-596,6000.0
2.0,chal-597,16.0
12.0,chal-598,6.036288760000000000000
21.0,chal-599,46.5
68.0,chal-600,70.0
2.0,chal-601,4.0
70.0,chal-602,73.0
90.0,chal-603,15.00
9.0,chal-604,19.0
2673.0,chal-605,9.99715743563053978
238.0,chal-606,5918.5918
10.0,chal-607,26.5
78.0,chal-608,11.0
5.0,chal-609,13.0
38.0,chal-610,15.512155101551015510
308.0,chal-611,4.8
223.0,chal-612,243.8
53.0,chal-613,3.5
153.0,chal-614,6.575743544392435
574.0,chal-615,7050.0556545654545565
2.0,chal-616,2.4
6.0,chal-617,18.0
62.0,chal-618,95.0
64.0,chal-619,64.0
28.0,chal-620,25.0
2.0,chal-621,6.0652267276523652
2.0,chal-622,12.10
1201565.0,chal-623,6.1
2.0,chal-624,19.00190019000000000000
3.0,chal-625,7.00123456789101112131
2.0,chal-626,2.2220
22.0,chal-627,16.00
458988.0,chal-628,34444444.0344444444444
89.0,chal-629,83.83
10.0,chal-630,12.000000000000000000000
14.0,chal-631,30.0000000000000000000
26.0,chal-632,59.0
4.0,chal-633,3.0
11.0,chal-634,8.0
42.0,chal-635,22.5
186.0,chal-636,182.4
3.0,chal-637,13.0
2.0,chal-638,16.54641264106412
10.0,chal-639,8.0
3.0,chal-640,11.0
2.0,chal-641,1.5
42.0,chal-642,26.002260
22800.0,chal-643,22.8000
369.0,chal-644,18.5100031211328425
12.0,chal-645,16.00199254123120412
32.0,chal-646,30.0
522.0,chal-647,2345.75435678923456789
566.0,chal-648,8.0123456789101112131415
2.0,chal-649,9.0
2.0,chal-650,16.66667
33.0,chal-651,28.0
6.0,chal-652,11.0
2.0,chal-653,46.7
14.0,chal-654,15.0
91.0,chal-655,81.0
17.0,chal-656,23.0
1363293.0,chal-657,90111145.66
19.0,chal-658,27.0
8.0,chal-659,3.5
1.0,chal-660,4.0
76.0,chal-661,76.5
5852.0,chal-662,7182.0
5.0,chal-663,19.0
38608.0,chal-664,3030010.00000
30.0,chal-665,18.6
13.0,chal-666,7.001207000700000000
10.0,chal-667,4.00090012015018021024
9.0,chal-668,12.0
24.0,chal-669,53.0
10.0,chal-670,5.00728972897289
20.0,chal-671,20.8
30.0,chal-672,240.00000000000000000000000
7.0,chal-673,3.3033003023
120.0,chal-674,20.0
17.0,chal-675,5.05929272865232
44.0,chal-676,10.0
15.0,chal-677,7.5
118.0,chal-678,78.0
6.0,chal-679,12.0
1.0,chal-680,2.06666666666667
105.0,chal-681,105.0
32.0,chal-682,35.0017201720172017
7.0,chal-683,7.0
4.0,chal-684,30.00287600100500200300
27.0,chal-685,0.5172800
737.0,chal-686,5700.00000
8265.0,chal-687,76.5000000000000000000
1.0,chal-688,6.0
14.0,chal-689,97.5
80.0,chal-690,60.00
24.0,chal-691,24.0
146.0,chal-692,49.0
2.0,chal-693,68.0891889188918891
4.0,chal-694,14.0593239464934293
16.0,chal-695,14.0
22.0,chal-696,19.0
22.0,chal-697,5.042500000000000000000
3.0,chal-698,33.5525634242521342
44.0,chal-699,5.042345
6.0,chal-700,10.0
4.0,chal-701,6.0
45.0,chal-702,26.0
22.0,chal-703,43.43
101.0,chal-704,50.0
103.0,chal-705,103.0
126.0,chal-706,78.080923456789789012
13.0,chal-707,19.0429482476789
4.0,chal-708,8.0
9.0,chal-709,8.0
45.0,chal-710,57.5
2.0,chal-711,9.0
41.0,chal-712,26.0
15.0,chal-713,18.0730373037303730
25.0,chal-714,10.5105081010101508101
348.0,chal-715,162.5
8.0,chal-716,17.0426342634263426
1.0,chal-717,3.5
13.0,chal-718,68.0
2.0,chal-719,48.5
32.0,chal-720,62.0
51.0,chal-721,70.0
268627.0,chal-722,6.2942410
14.0,chal-723,14.0
3.0,chal-724,3.0
143550.0,chal-725,89.00000000000001000000000
106.0,chal-726,243.743734373
574.0,chal-727,90584.0
4.0,chal-728,19.0
15.0,chal-729,15.0
13.0,chal-730,18.0
6.0,chal-731,19.5
1.0,chal-732,3.032342727
54.0,chal-733,54.0
7.0,chal-734,33.0
4.0,chal-735,23.5335435435345435435
27.0,chal-736,32.0
229.0,chal-737,133.4
2.0,chal-738,5.0
1.0,chal-739,5.0
1.0,chal-740,21.0
20.0,chal-741,240.00
65.0,chal-742,5.09297
11.0,chal-743,13.0
17.0,chal-744,20.0
17.0,chal-745,17.7
190.0,chal-746,173.001727173173173173173
2.0,chal-747,15.0
63.0,chal-748,56.0
2.0,chal-749,7.0728372837283728
30057.0,chal-750,11.17
192.0,chal-751,66.0749995686
2.0,chal-752,7.5
265.0,chal-753,265.6
298.0,chal-754,620.0
728.0,chal-755,183.2
21.0,chal-756,21.0
4.0,chal-757,12.0
45.0,chal-758,45.0
1.0,chal-759,26.528426428442642426
3168.0,chal-760,144.02024000000000000
345.0,chal-761,15.05920
3.0,chal-762,17.0
28.0,chal-763,17.00
77.0,chal-764,301.6
2226.0,chal-765,1307.0
29.0,chal-766,53.5
14.0,chal-767,19.0
10.0,chal-768,43.00
78.0,chal-769,8.526967244383435
14.0,chal-770,14.0
1.0,chal-771,12.5
2050.0,chal-772,25.25
7.0,chal-773,10.0
121.0,chal-774,160.0
21.0,chal-775,17.5
420.0,chal-776,420.0
145.0,chal-777,85.5
24.0,chal-778,3840.00000
12.0,chal-779,10.0
1012.0,chal-780,2580.00
31.0,chal-781,107.17
28.0,chal-782,57.0
12.0,chal-783,6.1
28.0,chal-784,28.0
60.0,chal-785,27.5
7.0,chal-786,10.5
39.0,chal-787,33.0
65.0,chal-788,2.50224232442342423424
2.0,chal-789,2.0
11.0,chal-790,65.0
12.0,chal-791,114.0
5.0,chal-792,4.0
15.0,chal-793,15.0
3.0,chal-794,6.0
111.0,chal-795,37.0
59.0,chal-796,7.5
14.0,chal-797,21.0
7.0,chal-798,14.0
9.0,chal-799,14.0
3.0,chal-800,8.5354565234567852345
5.0,chal-801,4.5
22.0,chal-802,13.0
11.0,chal-803,11.2
2.0,chal-804,2.0
112.0,chal-805,43.0
2.0,chal-806,7.0728372837283728
32.0,chal-807,18.14
8.0,chal-808,4.5
4.0,chal-809,46.4285714286
20.0,chal-810,2.5
21.0,chal-811,14.522
14.0,chal-812,5760.4
1.0,chal-813,26.0
33.0,chal-814,93.0
1453.0,chal-815,342.3423423423423
17.0,chal-816,4.0725539435231728
2.0,chal-817,18.0
32.0,chal-818,18932.33333
3.0,chal-819,12.0
7.0,chal-820,12.58234679
242.0,chal-821,138.4
90.0,chal-822,83.00
2.0,chal-823,7.0
2.0,chal-824,3.363243632364363236
105.0,chal-825,1100.001222
10.0,chal-826,7.0
69.0,chal-827,75.0
527292.0,chal-828,530000.0
1.0,chal-829,19.0
1.0,chal-830,7.0
826.0,chal-831,84.0
574664.0,chal-832,47.50000
1.0,chal-833,5.5
10.0,chal-834,68.029680
16.0,chal-835,16.3
110.0,chal-836,7400.000000000000000000
24.0,chal-837,2880.000028900288000000
34.0,chal-838,9.0
25.0,chal-839,25.0
946.0,chal-840,918.0
5.0,chal-841,5.00
2.0,chal-842,2.00
5.0,chal-843,20.00543559205421542
14.0,chal-844,14.0
6.0,chal-845,26.0
1.0,chal-846,5.0
2080.0,chal-847,8480.00000
10.0,chal-848,2.5
7.0,chal-849,7.1
9.0,chal-850,9.0
11346.0,chal-851,11146.0
7.0,chal-852,31.0
13.0,chal-853,21.0
96.0,chal-854,7600.0
11.0,chal-855,8.9
2.0,chal-856,3.7
99.0,chal-857,246.26
24.0,chal-858,25.52352325232323523
2436.0,chal-859,7600.7600
210.0,chal-860,210.00
45.0,chal-861,1550.75
1.0,chal-862,012345678901234567890123456789
6.0,chal-863,6.0
22.0,chal-864,21.0
14.0,chal-865,23.00
109.0,chal-866,140.5
146.0,chal-867,165.0
2.0,chal-868,392.0192000
3.0,chal-869,12.04243434343443434
2.0,chal-870,12.5
10.0,chal-871,6.9
99.0,chal-872,99.0
9.0,chal-873,81.0
39.0,chal-874,155.1
3834.0,chal-875,5594.0
265.0,chal-876,526.5266526552665265
5.0,chal-877,10.5
8.0,chal-878,2.5
72.0,chal-879,96.0
6.0,chal-880,23.0
3.0,chal-881,3.0
41.0,chal-882,35.0
8.0,chal-883,2.5924687435
39.0,chal-884,130.130130130130130130130130
3.0,chal-885,3.3
10.0,chal-886,13.0
44.0,chal-887,52.0
12.0,chal-888,22.0
45.0,chal-889,19.5
208.0,chal-890,18.24
136.0,chal-891,40.0000000000000000
1.0,chal-892,7.00177666666666666666
9.0,chal-893,61.0724364367445643
1.0,chal-894,10.0
8066.0,chal-895,0.5024375000000000000
3.0,chal-896,6.0
7.0,chal-897,6.0022826
6.0,chal-898,49.0
13.0,chal-899,15.0
23.0,chal-900,23.00
3.0,chal-901,3.0
10.0,chal-902,10.0
2.0,chal-903,8.0
1.0,chal-904,1.1
7.0,chal-905,3.4
6.0,chal-906,24.0420642484248424
156.0,chal-907,86.2
3.0,chal-908,6.0292292292292292292292
30.0,chal-909,17.0
53.0,chal-910,49.0
112.0,chal-911,112.0
11.0,chal-912,209.21
1455.0,chal-913,868.2817
53.0,chal-914,53.1
73.0,chal-915,7.0
253.0,chal-916,4850.2320
123.0,chal-917,161.0
276.0,chal-918,531.25
10.0,chal-919,84.5
2.0,chal-920,8.0
7.0,chal-921,14.0
5.0,chal-922,9.642857142857
198.0,chal-923,594.0394039403940394
62.0,chal-924,84.0
21.0,chal-925,16.0
123.0,chal-926,38.3
7.0,chal-927,1.5
41.0,chal-928,15.0
49.0,chal-929,5.0
1791.0,chal-930,9171.0
19.0,chal-931,43.0
3021.0,chal-932,4000.000000000000000000
94.0,chal-933,58.0
1.0,chal-934,3.0
621.0,chal-935,26.05926
353.0,chal-936,591.6
76.0,chal-937,76.00
17.0,chal-938,10.0
33.0,chal-939,33.0
10.0,chal-940,10.1
2.0,chal-941,19.0
23.0,chal-942,35.0
1.0,chal-943,14.0
3.0,chal-944,3.5
14.0,chal-945,28.002561
26.0,chal-946,59.00
14.0,chal-947,25.24
1.0,chal-948,5.0
22922.0,chal-949,44652.0
7.0,chal-950,20.0
58.0,chal-951,19.0
16.0,chal-952,11.5
274.0,chal-953,1.0
3.0,chal-954,29.0047545678012345678
1.0,chal-955,16.0
347.0,chal-956,52117427.0
54.0,chal-957,33.0
7.0,chal-958,6.5
8.0,chal-959,2.5
15.0,chal-960,90.01613879166666667000
92.0,chal-961,10.536615631555156
6264.0,chal-962,2520000.00000000000000000
784.0,chal-963,529.0476
1.0,chal-964,25.0
2.0,chal-965,12.00
1.0,chal-966,16.5354480969788
2.0,chal-967,73.5
1.0,chal-968,8.0
38.0,chal-969,15.0728172817281728
2.0,chal-970,10.0
57.0,chal-971,25678.25678100000000000000
1088.0,chal-972,68.026226626
32.0,chal-973,43.0
3.0,chal-974,105.2
4.0,chal-975,21.0
34.0,chal-976,19.0
41.0,chal-977,42.54695787031250
25.0,chal-978,5.03059809467891728
7.0,chal-979,15.0
